TimeStamp,Humedad (%), Temperatura(DHT), Temperatura (BMP), Presion (hPa), Altitud (m), CO2 (ppm)
2022:4:10:21:15:48,65.00,22.40,22.59,983.19,261.23,15980.96
2022:4:10:21:15:50,65.00,22.40,22.58,983.20,261.15,23153.25
2022:4:10:21:15:52,65.00,22.50,22.58,983.19,261.21,22946.22
2022:4:10:21:15:54,65.00,22.50,22.58,983.18,261.30,19803.58
2022:4:10:21:15:56,65.00,22.50,22.54,983.15,261.50,15820.27
2022:4:10:21:15:58,65.00,22.50,22.55,983.17,261.38,11493.16
2022:4:10:21:16:0,65.00,22.50,22.55,983.20,261.14,7549.73
2022:4:10:21:16:2,65.00,22.50,22.56,983.19,261.20,4921.06
2022:4:10:21:16:5,65.00,22.60,22.56,983.17,261.33,3425.25
2022:4:10:21:16:7,65.00,22.50,22.56,983.18,261.26,2586.23
2022:4:10:21:16:9,65.00,22.60,22.57,983.20,261.13,2096.43
2022:4:10:21:16:11,65.00,22.60,22.56,983.20,261.13,1781.59
2022:4:10:21:16:13,65.00,22.60,22.55,983.21,261.05,1601.61
2022:4:10:21:16:15,65.00,22.50,22.55,983.17,261.36,1434.01
2022:4:10:21:16:17,65.00,22.60,22.56,983.18,261.29,1308.55
2022:4:10:21:16:19,65.00,22.50,22.54,983.18,261.24,1219.35
2022:4:10:21:16:21,65.00,22.60,22.54,983.17,261.35,1134.23
2022:4:10:21:16:23,64.00,22.60,22.54,983.20,261.08,1079.70
2022:4:10:21:16:25,65.00,22.60,22.55,983.18,261.32,1026.92
2022:4:10:21:16:27,64.00,22.60,22.54,983.22,260.91,1001.18
2022:4:10:21:16:29,65.00,22.60,22.52,983.19,261.15,975.86
2022:4:10:21:16:32,64.00,22.60,22.52,983.18,261.23,926.49
2022:4:10:21:16:34,64.00,22.60,22.52,983.16,261.42,902.43
2022:4:10:21:16:36,64.00,22.60,22.51,983.18,261.20,878.79
2022:4:10:21:16:38,64.00,22.60,22.52,983.21,261.01,855.55
2022:4:10:21:16:40,64.00,22.60,22.52,983.19,261.16,832.72
2022:4:10:21:16:42,64.00,22.60,22.52,983.19,261.17,810.28
2022:4:10:21:16:44,64.00,22.60,22.52,983.18,261.26,788.25
2022:4:10:21:16:46,64.00,22.60,22.51,983.19,261.17,766.61
2022:4:10:21:16:48,64.00,22.60,22.52,983.17,261.37,745.37
2022:4:10:21:16:50,64.00,22.60,22.51,983.17,261.30,745.37
2022:4:10:21:16:52,65.00,22.60,22.51,983.21,260.98,724.51
2022:4:10:21:16:54,64.00,22.60,22.50,983.22,260.92,724.51
2022:4:10:21:16:57,64.00,22.60,22.51,983.24,260.73,704.04
2022:4:10:21:16:59,64.00,22.60,22.50,983.20,261.09,704.04
2022:4:10:21:17:1,64.00,22.60,22.48,983.21,260.92,683.95
2022:4:10:21:17:3,64.00,22.60,22.48,983.18,261.25,683.95
2022:4:10:21:17:5,64.00,22.60,22.48,983.21,260.94,664.23
2022:4:10:21:17:7,64.00,22.70,22.48,983.20,261.04,664.23
2022:4:10:21:17:9,64.00,22.70,22.48,983.19,261.10,644.89
2022:4:10:21:17:11,64.00,22.70,22.47,983.21,260.95,644.89
2022:4:10:21:17:13,64.00,22.70,22.47,983.21,260.91,644.89
2022:4:10:21:17:15,64.00,22.70,22.47,983.19,261.14,625.93
2022:4:10:21:17:17,64.00,22.70,22.47,983.24,260.66,625.93
2022:4:10:21:17:19,64.00,22.70,22.46,983.17,261.29,625.93
2022:4:10:21:17:21,64.00,22.70,22.46,983.19,261.08,607.33
2022:4:10:21:17:24,64.00,22.70,22.46,983.20,261.00,607.33
2022:4:10:21:17:26,64.00,22.70,22.45,983.22,260.84,607.33
2022:4:10:21:17:28,64.00,22.70,22.46,983.22,260.81,589.09
2022:4:10:21:17:30,64.00,22.70,22.45,983.19,261.07,589.09
2022:4:10:21:17:32,64.00,22.70,22.45,983.20,260.97,589.09
2022:4:10:21:17:34,64.00,22.70,22.45,983.21,260.97,589.09
2022:4:10:21:17:36,64.00,22.70,22.44,983.21,260.94,589.09
2022:4:10:21:17:38,64.00,22.70,22.44,983.24,260.65,589.09
2022:4:10:21:17:40,64.00,22.70,22.42,983.19,261.06,571.21
2022:4:10:21:17:42,64.00,22.70,22.43,983.24,260.63,571.21
2022:4:10:21:17:44,64.00,22.70,22.43,983.23,260.69,571.21
2022:4:10:21:17:46,64.00,22.70,22.43,983.20,260.96,571.21
2022:4:10:21:17:48,64.00,22.70,22.43,983.24,260.63,571.21
2022:4:10:21:17:51,64.00,22.70,22.44,983.22,260.81,553.70
2022:4:10:21:17:53,64.00,22.70,22.44,983.20,260.97,553.70
2022:4:10:21:17:55,64.00,22.70,22.45,983.23,260.74,553.70
2022:4:10:21:17:57,64.00,22.70,22.46,983.25,260.60,553.70
2022:4:10:21:17:59,64.00,22.70,22.46,983.21,260.92,553.70
2022:4:10:21:18:1,64.00,22.70,22.47,983.24,260.68,536.53
2022:4:10:21:18:3,64.00,22.70,22.47,983.25,260.63,536.53
2022:4:10:21:18:5,64.00,22.70,22.44,983.22,260.85,536.53
2022:4:10:21:18:7,64.00,22.70,22.41,983.26,260.46,536.53
2022:4:10:21:18:9,64.00,22.70,22.41,983.25,260.51,536.53
2022:4:10:21:18:11,64.00,22.70,22.41,983.22,260.77,536.53
2022:4:10:21:18:13,64.00,22.70,22.42,983.25,260.56,536.53
2022:4:10:21:18:16,64.00,22.70,22.40,983.23,260.69,536.53
2022:4:10:21:18:18,64.00,22.70,22.41,983.23,260.75,536.53
2022:4:10:21:18:20,64.00,22.80,22.42,983.23,260.70,536.53
2022:4:10:21:18:22,64.00,22.70,22.42,983.23,260.74,536.53
2022:4:10:21:18:24,64.00,22.80,22.42,983.23,260.75,536.53
2022:4:10:21:18:26,64.00,22.70,22.42,983.28,260.29,536.53
2022:4:10:21:18:28,64.00,22.80,22.42,983.25,260.51,519.72
2022:4:10:21:18:30,64.00,22.70,22.43,983.26,260.45,519.72
2022:4:10:21:18:32,64.00,22.80,22.44,983.24,260.69,519.72
2022:4:10:21:18:34,64.00,22.80,22.44,983.22,260.86,519.72
2022:4:10:21:18:36,64.00,22.80,22.45,983.22,260.80,519.72
2022:4:10:21:18:38,64.00,22.80,22.45,983.25,260.55,519.72
2022:4:10:21:18:40,64.00,22.80,22.46,983.23,260.79,519.72
2022:4:10:21:18:43,64.00,22.80,22.45,983.21,260.95,519.72
2022:4:10:21:18:45,64.00,22.70,22.45,983.25,260.55,519.72
2022:4:10:21:18:47,64.00,22.80,22.44,983.24,260.69,519.72
2022:4:10:21:18:49,64.00,22.80,22.44,983.22,260.79,519.72
2022:4:10:21:18:51,64.00,22.80,22.42,983.30,260.08,503.25
2022:4:10:21:18:53,64.00,22.80,22.42,983.27,260.33,503.25
2022:4:10:21:18:55,64.00,22.70,22.42,983.24,260.60,503.25
2022:4:10:21:18:57,64.00,22.80,22.43,983.26,260.46,503.25
2022:4:10:21:18:59,64.00,22.80,22.43,983.29,260.18,503.25
2022:4:10:21:19:1,64.00,22.80,22.43,983.28,260.27,503.25
2022:4:10:21:19:3,64.00,22.70,22.44,983.26,260.45,503.25
2022:4:10:21:19:5,64.00,22.80,22.43,983.28,260.33,503.25
2022:4:10:21:19:8,64.00,22.80,22.42,983.30,260.12,503.25
2022:4:10:21:19:10,64.00,22.80,22.41,983.29,260.17,519.72
2022:4:10:21:19:12,64.00,22.80,22.38,983.29,260.11,503.25
2022:4:10:21:19:14,64.00,22.80,22.39,983.28,260.29,503.25
2022:4:10:21:19:16,64.00,22.80,22.38,983.28,260.20,503.25
2022:4:10:21:19:18,64.00,22.80,22.38,983.29,260.14,503.25
2022:4:10:21:19:20,64.00,22.80,22.38,983.28,260.25,503.25
2022:4:10:21:19:22,64.00,22.80,22.38,983.30,260.08,503.25
2022:4:10:21:19:24,64.00,22.80,22.38,983.26,260.41,503.25
2022:4:10:21:19:26,64.00,22.80,22.38,983.28,260.23,503.25
2022:4:10:21:19:28,64.00,22.80,22.37,983.28,260.25,503.25
2022:4:10:21:19:30,64.00,22.80,22.36,983.29,260.14,503.25
2022:4:10:21:19:32,64.00,22.80,22.35,983.29,260.08,503.25
2022:4:10:21:19:35,64.00,22.80,22.36,983.31,259.98,503.25
2022:4:10:21:19:37,64.00,22.80,22.35,983.30,260.02,503.25
2022:4:10:21:19:39,64.00,22.80,22.35,983.31,259.97,503.25
2022:4:10:21:19:41,64.00,22.80,22.35,983.30,260.04,487.13
2022:4:10:21:19:43,64.00,22.80,22.36,983.31,259.97,487.13
2022:4:10:21:19:45,64.00,22.80,22.36,983.30,260.06,487.13
2022:4:10:21:19:47,64.00,22.80,22.36,983.29,260.10,487.13
2022:4:10:21:19:49,64.00,22.80,22.37,983.32,259.90,487.13
2022:4:10:21:19:51,64.00,22.80,22.37,983.30,260.10,487.13
2022:4:10:21:19:53,64.00,22.80,22.38,983.33,259.83,487.13
2022:4:10:21:19:55,64.00,22.80,22.38,983.32,259.92,487.13
2022:4:10:21:19:57,64.00,22.80,22.39,983.33,259.81,487.13
2022:4:10:21:19:59,64.00,22.80,22.39,983.32,259.91,487.13
2022:4:10:21:20:2,64.00,22.80,22.39,983.31,260.02,487.13
2022:4:10:21:20:4,64.00,22.80,22.40,983.32,259.88,487.13
2022:4:10:21:20:6,64.00,22.80,22.40,983.32,259.93,487.13
2022:4:10:21:20:8,64.00,22.80,22.40,983.33,259.80,487.13
2022:4:10:21:20:10,64.00,22.80,22.40,983.29,260.20,487.13
2022:4:10:21:20:12,64.00,22.80,22.40,983.29,260.21,487.13
2022:4:10:21:20:14,64.00,22.80,22.41,983.28,260.23,487.13
2022:4:10:21:20:16,64.00,22.80,22.41,983.28,260.26,487.13
2022:4:10:21:20:18,64.00,22.80,22.41,983.29,260.20,487.13
2022:4:10:21:20:20,64.00,22.80,22.41,983.31,260.03,487.13
2022:4:10:21:20:22,64.00,22.80,22.40,983.29,260.14,487.13
2022:4:10:21:20:24,64.00,22.80,22.41,983.29,260.14,487.13
2022:4:10:21:20:27,64.00,22.80,22.41,983.30,260.07,487.13
2022:4:10:21:20:29,64.00,22.80,22.41,983.31,260.02,471.34
2022:4:10:21:20:31,64.00,22.80,22.41,983.27,260.40,487.13
2022:4:10:21:20:33,64.00,22.80,22.42,983.28,260.26,487.13
2022:4:10:21:20:35,64.00,22.80,22.42,983.27,260.41,471.34
2022:4:10:21:20:37,64.00,22.80,22.42,983.30,260.14,487.13
2022:4:10:21:20:39,64.00,22.80,22.43,983.31,260.04,487.13
2022:4:10:21:20:41,64.00,22.80,22.44,983.28,260.32,471.34
2022:4:10:21:20:43,64.00,22.80,22.44,983.27,260.37,471.34
2022:4:10:21:20:45,64.00,22.80,22.44,983.26,260.46,471.34
2022:4:10:21:20:47,64.00,22.80,22.45,983.28,260.33,471.34
2022:4:10:21:20:49,64.00,22.80,22.45,983.29,260.24,471.34
2022:4:10:21:20:51,64.00,22.80,22.45,983.27,260.36,471.34
2022:4:10:21:20:54,64.00,22.80,22.45,983.29,260.24,471.34
2022:4:10:21:20:56,64.00,22.80,22.46,983.29,260.24,471.34
2022:4:10:21:20:58,64.00,22.80,22.46,983.25,260.60,471.34
2022:4:10:21:21:0,64.00,22.80,22.46,983.25,260.56,471.34
2022:4:10:21:21:2,64.00,22.80,22.45,983.27,260.43,471.34
2022:4:10:21:21:4,64.00,22.80,22.45,983.25,260.54,471.34
2022:4:10:21:21:6,64.00,22.80,22.45,983.24,260.64,471.34
2022:4:10:21:21:8,64.00,22.80,22.45,983.25,260.57,471.34
2022:4:10:21:21:10,64.00,22.80,22.45,983.26,260.52,471.34
2022:4:10:21:21:12,64.00,22.80,22.45,983.28,260.32,471.34
2022:4:10:21:21:14,64.00,22.80,22.46,983.28,260.30,471.34
2022:4:10:21:21:16,64.00,22.80,22.46,983.27,260.36,471.34
2022:4:10:21:21:19,64.00,22.80,22.46,983.26,260.46,471.34
2022:4:10:21:21:21,64.00,22.80,22.46,983.22,260.82,471.34
2022:4:10:21:21:23,64.00,22.80,22.46,983.23,260.74,471.34
2022:4:10:21:21:25,64.00,22.80,22.46,983.25,260.54,471.34
2022:4:10:21:21:27,64.00,22.80,22.46,983.26,260.46,471.34
2022:4:10:21:21:29,64.00,22.80,22.47,983.24,260.66,471.34
2022:4:10:21:21:31,64.00,22.80,22.47,983.22,260.89,471.34
2022:4:10:21:21:33,64.00,22.80,22.48,983.24,260.64,471.34
2022:4:10:21:21:35,64.00,22.80,22.48,983.25,260.63,471.34
2022:4:10:21:21:37,64.00,22.80,22.48,983.26,260.55,471.34
2022:4:10:21:21:39,64.00,22.80,22.48,983.24,260.70,471.34
2022:4:10:21:21:42,64.00,22.80,22.49,983.23,260.75,471.34
2022:4:10:21:21:44,64.00,22.80,22.48,983.17,261.32,471.34
2022:4:10:21:21:46,64.00,22.80,22.49,983.23,260.80,455.90
2022:4:10:21:21:48,64.00,22.80,22.49,983.24,260.66,471.34
2022:4:10:21:21:50,64.00,22.80,22.49,983.22,260.86,455.90
2022:4:10:21:21:52,64.00,22.80,22.49,983.23,260.78,455.90
2022:4:10:21:21:54,64.00,22.80,22.49,983.22,260.86,471.34
2022:4:10:21:21:56,64.00,22.80,22.49,983.28,260.33,455.90
2022:4:10:21:21:58,64.00,22.80,22.48,983.24,260.73,471.34
2022:4:10:21:22:0,64.00,22.80,22.49,983.23,260.75,455.90
2022:4:10:21:22:2,64.00,22.80,22.50,983.24,260.74,471.34
2022:4:10:21:22:4,64.00,22.80,22.50,983.23,260.83,471.34
2022:4:10:21:22:7,64.00,22.80,22.50,983.25,260.64,455.90
2022:4:10:21:22:9,64.00,22.80,22.50,983.23,260.77,455.90
2022:4:10:21:22:11,64.00,22.80,22.51,983.27,260.48,455.90
2022:4:10:21:22:13,64.00,22.80,22.50,983.22,260.86,471.34
2022:4:10:21:22:15,64.00,22.80,22.51,983.26,260.53,455.90
2022:4:10:21:22:17,64.00,22.80,22.51,983.26,260.58,455.90
2022:4:10:21:22:19,64.00,22.80,22.52,983.24,260.68,471.34
2022:4:10:21:22:21,64.00,22.80,22.52,983.26,260.55,471.34
2022:4:10:21:22:23,64.00,22.80,22.52,983.24,260.75,471.34
2022:4:10:21:22:25,64.00,22.80,22.52,983.23,260.85,455.90
2022:4:10:21:22:27,64.00,22.80,22.52,983.24,260.69,455.90
2022:4:10:21:22:29,64.00,22.80,22.52,983.21,260.95,455.90
2022:4:10:21:22:31,64.00,22.80,22.54,983.25,260.65,455.90
2022:4:10:21:22:34,64.00,22.80,22.54,983.22,260.88,471.34
2022:4:10:21:22:36,64.00,22.80,22.54,983.26,260.58,455.90
2022:4:10:21:22:38,64.00,22.80,22.54,983.24,260.72,455.90
2022:4:10:21:22:40,64.00,22.80,22.54,983.23,260.79,455.90
2022:4:10:21:22:42,64.00,22.80,22.54,983.22,260.87,455.90
2022:4:10:21:22:44,64.00,22.80,22.54,983.25,260.63,455.90
2022:4:10:21:22:46,64.00,22.80,22.54,983.22,260.93,455.90
2022:4:10:21:22:48,64.00,22.80,22.54,983.26,260.56,455.90
2022:4:10:21:22:50,64.00,22.80,22.54,983.28,260.37,455.90
2022:4:10:21:22:52,64.00,22.80,22.54,983.23,260.82,455.90
2022:4:10:21:22:54,64.00,22.80,22.54,983.25,260.66,455.90
2022:4:10:21:22:56,64.00,22.80,22.53,983.25,260.67,455.90
2022:4:10:21:22:59,64.00,22.80,22.54,983.25,260.61,455.90
2022:4:10:21:23:1,64.00,22.80,22.52,983.24,260.74,455.90
2022:4:10:21:23:3,64.00,22.80,22.52,983.23,260.83,455.90
2022:4:10:21:23:5,64.00,22.80,22.53,983.28,260.42,455.90
2022:4:10:21:23:7,64.00,22.90,22.52,983.24,260.69,455.90
2022:4:10:21:23:9,64.00,22.80,22.52,983.25,260.66,455.90
2022:4:10:21:23:11,64.00,22.80,22.52,983.24,260.74,455.90
2022:4:10:21:23:13,64.00,22.80,22.52,983.23,260.78,455.90
2022:4:10:21:23:15,64.00,22.80,22.52,983.24,260.71,455.90
2022:4:10:21:23:17,64.00,22.80,22.51,983.22,260.86,455.90
2022:4:10:21:23:19,64.00,22.80,22.52,983.24,260.75,455.90
2022:4:10:21:23:21,64.00,22.80,22.52,983.26,260.58,455.90
2022:4:10:21:23:23,64.00,22.80,22.52,983.22,260.91,455.90
2022:4:10:21:23:26,64.00,22.80,22.52,983.25,260.62,455.90
2022:4:10:21:23:28,64.00,22.80,22.51,983.24,260.70,455.90
2022:4:10:21:23:30,64.00,22.80,22.52,983.24,260.69,455.90
2022:4:10:21:23:32,64.00,22.80,22.52,983.24,260.74,455.90
2022:4:10:21:23:34,64.00,22.80,22.52,983.26,260.52,455.90
2022:4:10:21:23:36,64.00,22.80,22.52,983.22,260.93,455.90
2022:4:10:21:23:38,64.00,22.80,22.52,983.22,260.87,455.90
2022:4:10:21:23:40,64.00,22.80,22.53,983.25,260.62,455.90
2022:4:10:21:23:42,64.00,22.80,22.53,983.24,260.77,455.90
2022:4:10:21:23:44,64.00,22.80,22.52,983.25,260.65,455.90
2022:4:10:21:23:46,64.00,22.80,22.52,983.26,260.50,455.90
2022:4:10:21:23:48,64.00,22.80,22.52,983.25,260.59,455.90
2022:4:10:21:23:51,64.00,22.80,22.51,983.24,260.68,455.90
2022:4:10:21:23:53,64.00,22.80,22.51,983.24,260.68,455.90
2022:4:10:21:23:55,64.00,22.80,22.50,983.26,260.55,455.90
2022:4:10:21:23:57,64.00,22.80,22.50,983.24,260.67,455.90
2022:4:10:21:23:59,64.00,22.80,22.50,983.26,260.53,455.90
2022:4:10:21:24:1,64.00,22.80,22.49,983.24,260.68,455.90
2022:4:10:21:24:3,64.00,22.80,22.50,983.25,260.66,455.90
2022:4:10:21:24:5,64.00,22.80,22.51,983.24,260.70,455.90
2022:4:10:21:24:7,64.00,22.80,22.51,983.28,260.33,455.90
2022:4:10:21:24:9,64.00,22.80,22.51,983.26,260.57,455.90
2022:4:10:21:24:11,64.00,22.80,22.52,983.26,260.50,455.90
2022:4:10:21:24:13,64.00,22.80,22.52,983.27,260.46,455.90
2022:4:10:21:24:16,64.00,22.80,22.52,983.27,260.46,455.90
2022:4:10:21:24:18,64.00,22.90,22.52,983.23,260.77,455.90
2022:4:10:21:24:20,64.00,22.80,22.52,983.25,260.62,455.90
2022:4:10:21:24:22,64.00,22.90,22.51,983.26,260.56,455.90
2022:4:10:21:24:24,64.00,22.80,22.52,983.27,260.47,455.90
2022:4:10:21:24:26,64.00,22.80,22.51,983.22,260.93,455.90
2022:4:10:21:24:28,64.00,22.80,22.51,983.26,260.54,455.90
2022:4:10:21:24:30,64.00,22.80,22.52,983.25,260.63,455.90
2022:4:10:21:24:32,64.00,22.90,22.51,983.24,260.75,455.90
2022:4:10:21:24:34,64.00,22.80,22.52,983.24,260.76,455.90
2022:4:10:21:24:36,64.00,22.90,22.52,983.26,260.54,455.90
2022:4:10:21:24:38,64.00,22.90,22.52,983.27,260.45,455.90
2022:4:10:21:24:40,64.00,22.90,22.53,983.27,260.43,455.90
2022:4:10:21:24:43,64.00,22.90,22.52,983.24,260.69,455.90
2022:4:10:21:24:45,64.00,22.80,22.53,983.27,260.50,455.90
2022:4:10:21:24:47,64.00,22.80,22.53,983.20,261.07,455.90
2022:4:10:21:24:49,64.00,22.80,22.54,983.25,260.62,455.90
2022:4:10:21:24:51,64.00,22.80,22.55,983.24,260.76,455.90
2022:4:10:21:24:53,64.00,22.80,22.55,983.25,260.64,455.90
2022:4:10:21:24:55,64.00,22.80,22.56,983.26,260.55,455.90
2022:4:10:21:24:57,64.00,22.90,22.57,983.27,260.48,455.90
2022:4:10:21:24:59,64.00,22.80,22.58,983.26,260.62,455.90
2022:4:10:21:25:1,64.00,22.80,22.58,983.26,260.56,455.90
2022:4:10:21:25:3,64.00,22.80,22.59,983.25,260.69,455.90
2022:4:10:21:25:5,64.00,22.80,22.59,983.26,260.62,455.90
2022:4:10:21:25:8,64.00,22.90,22.58,983.24,260.81,455.90
2022:4:10:21:25:10,64.00,22.80,22.58,983.23,260.90,455.90
2022:4:10:21:25:12,64.00,22.80,22.59,983.25,260.73,455.90
2022:4:10:21:25:14,64.00,22.80,22.59,983.25,260.71,455.90
2022:4:10:21:25:16,64.00,22.80,22.60,983.25,260.74,455.90
2022:4:10:21:25:18,64.00,22.80,22.59,983.24,260.77,455.90
2022:4:10:21:25:20,64.00,22.90,22.59,983.21,261.07,455.90
2022:4:10:21:25:22,64.00,22.80,22.59,983.22,260.94,455.90
2022:4:10:21:25:24,64.00,22.80,22.59,983.21,261.05,455.90
2022:4:10:21:25:26,64.00,22.90,22.59,983.22,260.95,455.90
2022:4:10:21:25:28,64.00,22.80,22.58,983.22,260.96,455.90
2022:4:10:21:25:30,64.00,22.80,22.60,983.26,260.61,455.90
2022:4:10:21:25:33,64.00,22.80,22.59,983.23,260.88,455.90
